seed_dir,k,n_candidates,n_label_program_features,recovered,missing,ProgramRecall@K,topk_features
minimal_seed41,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed42,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed43,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed44,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed45,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed46,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed47,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed48,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed49,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed50,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed51,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed52,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed53,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed54,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed55,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed56,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed57,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed58,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed59,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
minimal_seed60,2,11,4,"event_count,rating_mean","brand_category_entropy,price",0.5,"event_count,rating_mean"
