seed_dir,method,log_loss_gap_vs_oracle,roc_auc_gap_vs_oracle,average_precision_gap_vs_oracle
minimal_seed53,weak_price_only,0.027751473751851496,0.1394114872654858,0.06343962241310003
minimal_seed53,ranker_top4,0.0,0.0,0.0
minimal_seed53,random_top4,0.022766396571455405,0.09875275128393257,0.056194802591656656
minimal_seed54,weak_price_only,0.0017826530974170418,0.1288988095238095,0.07172908836646111
minimal_seed54,ranker_top4,0.0,0.0,0.0
minimal_seed54,random_top4,0.003993648441924791,0.03642559523809519,0.023952721789014947
minimal_seed55,weak_price_only,0.011190774318313335,0.08758807588075879,0.0652781692146033
minimal_seed55,ranker_top4,0.0029504990976406686,0.016531165311653107,0.01839049752255184
minimal_seed55,random_top4,0.007143497572068724,0.07107994579945798,0.04187673006649961
minimal_seed56,weak_price_only,0.011590466385608122,0.16247967479674785,0.10198526621637621
minimal_seed56,ranker_top4,0.0,0.0,0.0
minimal_seed56,random_top4,0.004421101652850756,0.04056639566395659,0.03855632707846657
minimal_seed57,weak_price_only,0.011870780387833346,0.052777010223818754,0.06415530362398353
minimal_seed57,ranker_top4,0.0,0.0,0.0
minimal_seed57,random_top4,0.008130825603547442,0.030605446562893435,0.05552137951544106
minimal_seed58,weak_price_only,0.01496079045094284,0.11242559523809526,0.052692126558724434
minimal_seed58,ranker_top4,0.0,0.0,0.0
minimal_seed58,random_top4,0.010137796220387074,0.07665773809523813,0.035430271684518455
minimal_seed59,weak_price_only,0.025351125385517648,0.12810980392156868,0.08832237406606358
minimal_seed59,ranker_top4,0.0,0.0,0.0
minimal_seed59,random_top4,0.0196303667942353,0.10165333333333337,0.04232189236359374
minimal_seed60,weak_price_only,0.02640973997819618,0.1273392878843116,0.10879454835873142
minimal_seed60,ranker_top4,0.0,0.0,0.0
minimal_seed60,random_top4,0.022070418035136763,0.10132458378903886,0.08205241682898068
